alletar;explotacio;nom;genere;pare;mare;quadra;cod;num_serie;dob;estado;part;GenereT;EstadoT
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;07/02/2017;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;16/05/2018;F;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;12/10/2019;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;31/01/2021;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;29/05/2022;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;31/07/2023;F;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;17/10/2014;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;10/11/2015;F;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;01/10/2016;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;01/09/2017;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;30/07/2018;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;28/10/2019;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;09/12/2020;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;19/02/2022;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;19/02/2022;F;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;22/05/2023;F;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;30/07/2024;F;OK
0;El Grau;R-35;;;;Riera;8547;ES05090462;01/03/2017;ok;01/04/2020;;OK
0;El Grau;R-35;;;;Riera;8547;ES05090462;01/03/2017;ok;13/03/2021;M;OK
0;El Grau;R-35;;;;Riera;8547;ES05090462;01/03/2017;ok;14/05/2023;F;OK
0;El Grau;R-35;;;;Riera;8547;ES05090462;01/03/2017;ok;20/06/2024;F;OK
